Days,State/UnionTerritory,Population,Cured,Deaths,Confirmed,TotalSamples
0,Uttar Pradesh,199812341,0,0,6,
1,Uttar Pradesh,199812341,0,0,7,
2,Uttar Pradesh,199812341,0,0,7,
3,Uttar Pradesh,199812341,0,0,7,
4,Uttar Pradesh,199812341,0,0,7,
5,Uttar Pradesh,199812341,0,0,7,
6,Uttar Pradesh,199812341,0,0,7,
7,Uttar Pradesh,199812341,0,0,9,
8,Uttar Pradesh,199812341,0,0,11,
9,Uttar Pradesh,199812341,0,0,11,
10,Uttar Pradesh,199812341,5,0,12,
11,Uttar Pradesh,199812341,4,0,13,
12,Uttar Pradesh,199812341,4,0,13,
13,Uttar Pradesh,199812341,5,0,15,
14,Uttar Pradesh,199812341,5,0,16,
15,Uttar Pradesh,199812341,9,0,19,
16,Uttar Pradesh,199812341,9,0,23,
17,Uttar Pradesh,199812341,9,0,24,
18,Uttar Pradesh,199812341,9,0,27,
19,Uttar Pradesh,199812341,9,0,31,
20,Uttar Pradesh,199812341,11,0,33,
21,Uttar Pradesh,199812341,11,0,37,
22,Uttar Pradesh,199812341,11,0,41,
23,Uttar Pradesh,199812341,11,0,41,
24,Uttar Pradesh,199812341,11,0,55,
25,Uttar Pradesh,199812341,11,0,65,
26,Uttar Pradesh,199812341,11,0,82,
27,Uttar Pradesh,199812341,14,0,101,
28,Uttar Pradesh,199812341,14,2,103,
29,Uttar Pradesh,199812341,14,2,113,
30,Uttar Pradesh,199812341,14,2,172,
31,Uttar Pradesh,199812341,19,2,174,
32,Uttar Pradesh,199812341,19,2,227,5255
33,Uttar Pradesh,199812341,21,3,305,
34,Uttar Pradesh,199812341,21,3,305,
35,Uttar Pradesh,199812341,26,3,343,
36,Uttar Pradesh,199812341,31,4,410,8402
37,Uttar Pradesh,199812341,32,4,431,9332
38,Uttar Pradesh,199812341,32,4,433,10595
39,Uttar Pradesh,199812341,45,5,452,11855
40,Uttar Pradesh,199812341,47,5,483,13287
41,Uttar Pradesh,199812341,49,5,657,15914
42,Uttar Pradesh,199812341,51,11,735,19506
43,Uttar Pradesh,199812341,68,13,773,21384
44,Uttar Pradesh,199812341,74,14,846,24643
45,Uttar Pradesh,199812341,86,14,969,28484
46,Uttar Pradesh,199812341,108,17,1084,31767
47,Uttar Pradesh,199812341,129,17,1176,34326
48,Uttar Pradesh,199812341,140,20,1294,37933
49,Uttar Pradesh,199812341,165,21,1412,42192
50,Uttar Pradesh,199812341,187,21,1509,45483
51,Uttar Pradesh,199812341,206,24,1604,53166
52,Uttar Pradesh,199812341,248,26,1778,56851
53,Uttar Pradesh,199812341,289,29,1843,61799
54,Uttar Pradesh,199812341,335,31,1955,67145
55,Uttar Pradesh,199812341,400,31,2043,70307
56,Uttar Pradesh,199812341,477,36,2115,73716
57,Uttar Pradesh,199812341,513,39,2203,78013
58,Uttar Pradesh,199812341,555,41,2281,82459
59,Uttar Pradesh,199812341,654,42,2328,85729
60,Uttar Pradesh,199812341,698,43,2626,95841
61,Uttar Pradesh,199812341,758,45,2742,98300
62,Uttar Pradesh,199812341,944,53,2859,105234
63,Uttar Pradesh,199812341,987,56,2880,109888
64,Uttar Pradesh,199812341,1130,60,2998,113670
65,Uttar Pradesh,199812341,1250,62,3071,119688
66,Uttar Pradesh,199812341,1387,66,3214,124791
67,Uttar Pradesh,199812341,1499,74,3373,129955
68,Uttar Pradesh,199812341,1653,74,3467,135760
69,Uttar Pradesh,199812341,1758,80,3573,140166
70,Uttar Pradesh,199812341,1873,82,3664,145637
71,Uttar Pradesh,199812341,1902,83,3729,153139
72,Uttar Pradesh,199812341,2072,88,3902,159282
73,Uttar Pradesh,199812341,2165,95,4057,163105
74,Uttar Pradesh,199812341,2441,104,4258,172219
75,Uttar Pradesh,199812341,2441,104,4259,176479
76,Uttar Pradesh,199812341,2783,118,4605,182184
77,Uttar Pradesh,199812341,2918,123,4926,191164
78,Uttar Pradesh,199812341,3066,127,5175,206811
79,Uttar Pradesh,199812341,3204,138,5515,214060
80,Uttar Pradesh,199812341,3238,152,5735,217867
81,Uttar Pradesh,199812341,3406,155,6017,229621
82,Uttar Pradesh,199812341,3538,161,6268,235622
83,Uttar Pradesh,199812341,3581,165,6532,240588
84,Uttar Pradesh,199812341,3698,170,6548,240588
85,Uttar Pradesh,199812341,3991,182,6991,256267
86,Uttar Pradesh,199812341,4215,197,7170,270920
87,Uttar Pradesh,199812341,4244,198,7284,279288
88,Uttar Pradesh,199812341,4410,201,7445,289892
89,Uttar Pradesh,199812341,4709,213,7823,297903
90,Uttar Pradesh,199812341,4843,217,8075,307621
91,Uttar Pradesh,199812341,5030,222,8361,317780
92,Uttar Pradesh,199812341,5176,229,8729,330663
93,Uttar Pradesh,199812341,5439,245,9237,344717
94,Uttar Pradesh,199812341,5648,257,9733,355085
95,Uttar Pradesh,199812341,5648,257,9733,360258
96,Uttar Pradesh,199812341,6185,275,10536,380723
97,Uttar Pradesh,199812341,6344,283,10947,391286
98,Uttar Pradesh,199812341,6669,301,11335,404637
99,Uttar Pradesh,199812341,6871,321,11610,420669
100,Uttar Pradesh,199812341,7292,345,12088,435601
101,Uttar Pradesh,199812341,7609,365,12616,449616
102,Uttar Pradesh,199812341,7875,385,13118,467702
103,Uttar Pradesh,199812341,8268,399,13615,466081
104,Uttar Pradesh,199812341,8268,399,13615,480047
105,Uttar Pradesh,199812341,8610,417,14091,496206
106,Uttar Pradesh,199812341,8904,435,14598,515280
107,Uttar Pradesh,199812341,9239,465,15181,532505
108,Uttar Pradesh,199812341,9638,488,15785,542972
109,Uttar Pradesh,199812341,9995,507,16594,560697
110,Uttar Pradesh,199812341,10995,550,17731,574304
111,Uttar Pradesh,199812341,11601,569,18322,588186
112,Uttar Pradesh,199812341,12116,588,18893,603390
113,Uttar Pradesh,199812341,12586,596,19557,620954
114,Uttar Pradesh,199812341,13119,611,20193,642833
115,Uttar Pradesh,199812341,13583,630,20943,663096
116,Uttar Pradesh,199812341,14215,649,21549,684296
117,Uttar Pradesh,199812341,14808,660,22147,707839
118,Uttar Pradesh,199812341,15506,672,22828,727793
119,Uttar Pradesh,199812341,16084,697,23492,758915
120,Uttar Pradesh,199812341,16629,718,24056,781584
121,Uttar Pradesh,199812341,17221,735,24825,810991
122,Uttar Pradesh,199812341,17597,749,25797,834991
123,Uttar Pradesh,199812341,18154,773,26554,887997
124,Uttar Pradesh,199812341,18761,785,27707,917114
125,Uttar Pradesh,199812341,19109,809,28636,947453
126,Uttar Pradesh,199812341,19627,827,29968,1003280
127,Uttar Pradesh,199812341,20331,845,31156,1036106
128,Uttar Pradesh,199812341,21127,862,32362,1074112
129,Uttar Pradesh,199812341,21787,889,33700,1116466
130,Uttar Pradesh,199812341,22689,913,35092,1156089
131,Uttar Pradesh,199812341,23334,934,36476,1192089
132,Uttar Pradesh,199812341,24203,955,38130,1231939
133,Uttar Pradesh,199812341,24983,983,39724,1277241
134,Uttar Pradesh,199812341,25743,1012,41383,1325327
135,Uttar Pradesh,199812341,26675,1046,43441,1379534
136,Uttar Pradesh,199812341,27634,1084,45163,1426303
137,Uttar Pradesh,199812341,28664,1108,47036,1470426
138,Uttar Pradesh,199812341,29845,1146,49247,1513827
139,Uttar Pradesh,199812341,30831,1192,51160,
